id_coder,full_name,document_id,birth_date,status,withdrawal_date,average,id_clan
33,Paulino Alvarez Querol,80860328,2004-03-31,ACTIVE,2026-01-11,,3
34,Elías Simón Baró Salvador,81956981,2005-08-25,COMPLETED,2025-07-27,8.87,3
35,Garrett Hernandez,87131259,2001-04-22,COMPLETED,2025-06-15,8.15,3
36,Rodolfo Múgica,91055868,2003-02-28,WITHDRAWN,2003-02-28,,3
37,Luisa Prada-Blazquez,81458032,2008-05-17,ACTIVE,2025-11-12,,3
38,Fanny del Sierra,88903419,2002-03-02,ACTIVE,2025-12-13,,3
39,Brian Carroll,80335934,2005-04-14,ACTIVE,2025-11-10,,3
40,Robert Ward,82111146,2001-04-16,ACTIVE,2026-01-25,,3
41,David Hardin,81316301,2005-03-15,COMPLETED,2025-05-04,7.03,3
42,Marcia Merino Ramírez,86630768,2003-07-29,ACTIVE,2025-04-26,,3
43,Benito Fabián Sáenz Peñalver,86304697,2004-01-24,ACTIVE,2026-03-05,,3
44,Paloma Arjona Tamarit,97281153,2002-08-24,ACTIVE,2026-02-16,,3
45,Enrique Cortés Fiol,82478748,2007-05-21,ACTIVE,2025-09-12,,3
46,Toño Guzmán Escalona,81237335,2008-11-28,ACTIVE,2025-10-24,,4
47,Lindsey Sellers,85908083,2005-03-14,WITHDRAWN,2005-03-14,,4
48,Jared Rogers,95882114,2002-09-07,ACTIVE,2025-11-12,,4
49,Santiago Valderrama-Ramis,88017239,2008-09-26,ACTIVE,2025-09-13,,4
50,Amber Jennings,97209754,2009-09-01,COMPLETED,2026-02-15,7.86,4
51,Hugo Villena Varela,99482955,2008-04-08,ACTIVE,2025-08-15,,4
52,Tiburcio Heras,80393517,2002-02-06,WITHDRAWN,2002-02-06,,4
53,Fidel del Ocaña,85527325,2001-07-07,ACTIVE,2025-05-06,,4
54,Dan Bennett,95348552,2004-12-30,ACTIVE,2025-06-18,,4
55,Jerry Obrien,87740896,2008-10-03,ACTIVE,2025-03-26,,4
56,Virginia Smith,87776414,2006-11-11,ACTIVE,2025-04-18,,4
57,Daisy Perez,90594414,2008-02-24,WITHDRAWN,2008-02-24,,4
58,Juana Molins Aguirre,97386122,2009-07-02,WITHDRAWN,2009-07-02,,4
59,Graciano del Marí,96291779,2001-06-11,WITHDRAWN,2001-06-11,,4
60,Cesar Parra Nebot,83175613,2005-09-29,ACTIVE,2025-06-21,,4
61,Marisol Salmerón Fortuny,81866646,2007-05-22,ACTIVE,2025-07-21,,5
62,Lucio Pont Gallardo,92154317,2008-06-29,ACTIVE,2026-01-25,,5
63,Devin Riley,95197976,2004-07-21,COMPLETED,2025-10-02,6.36,5
64,Mercedes Perla Bravo Chamorro,92843869,2002-09-20,WITHDRAWN,2002-09-20,,5
65,Zoraida Aragón-Ramis,96363797,2008-06-04,ACTIVE,2025-10-06,,5
66,Thomas Weaver,80771074,2007-06-08,ACTIVE,2025-05-24,,5
67,Alexander Young,81116377,2008-04-29,WITHDRAWN,2008-04-29,,5
68,Luz Zamorano-Molina,80694019,2004-12-05,ACTIVE,2025-05-24,,5
69,Charles Dunlap,89590386,2008-11-24,ACTIVE,2026-02-12,,5
70,Vanesa del Santiago,84322219,2003-10-29,ACTIVE,2026-03-01,,5
71,Sarah Mitchell,80572504,2008-10-29,ACTIVE,2025-08-20,,5
72,Olalla Arévalo Serra,80010459,2002-08-28,ACTIVE,2025-11-03,,5
73,Natanael Sacristán Ochoa,91494683,2007-03-28,ACTIVE,2025-09-22,,5
74,Jason Brown,84012005,2002-05-02,ACTIVE,2025-08-11,,5
75,Espiridión Fernández-Quintero,86606361,2010-01-30,ACTIVE,2026-02-22,,5
76,Alba Toro Valencia,81996642,2005-02-26,ACTIVE,2025-12-09,,6
77,Ashley Johnson,94229985,2009-11-17,COMPLETED,2025-06-13,8.39,6
78,Matilde del Aramburu,90782016,2008-06-15,ACTIVE,2025-12-10,,6
79,Ryan Wiggins,81734362,2010-02-09,ACTIVE,2025-10-03,,6
80,Nilda Maestre Fernandez,87220674,2008-05-18,ACTIVE,2025-12-16,,6
81,Amaya Giner Cerro,95182691,2005-11-22,ACTIVE,2025-03-23,,6
82,Tatiana Hierro Sanmiguel,87215277,2003-02-04,WITHDRAWN,2003-02-04,,6
83,Kathleen Kerr,91573209,2008-05-05,ACTIVE,2025-11-15,,6
84,Deborah Roberson,87002178,2003-01-16,WITHDRAWN,2003-01-16,,6
85,Wilfredo Carlos Posada,84676259,2004-07-05,COMPLETED,2026-02-04,6.72,6
86,Jacob Clark,88389630,2009-12-22,ACTIVE,2025-03-23,,6
87,Emiliana Lastra,85627223,2005-06-18,ACTIVE,2025-10-13,,6
88,Melissa Lutz,97383886,2001-05-16,COMPLETED,2025-08-14,9.29,6
89,Shari Ramirez,99833296,2004-10-24,COMPLETED,2025-10-31,8.56,6
90,Renato Atienza-Alcántara,93350360,2007-01-19,ACTIVE,2025-04-12,,6
91,Rolando Maza Moya,97726257,2006-03-06,ACTIVE,2025-07-07,,7
92,Ale Ignacia Crespi Oller,96950189,2006-02-17,ACTIVE,2026-01-11,,7
93,Justin Richard,82796708,2007-10-04,COMPLETED,2025-06-11,8.3,7
94,Mireia Carlos-Ortuño,99738123,2002-06-29,COMPLETED,2025-06-25,8.78,7
95,Maximiliano Calzada Bonilla,88723458,2004-08-06,ACTIVE,2025-11-05,,7
96,Teresa Wilson,88963311,2002-05-18,WITHDRAWN,2002-05-18,,7
97,Joshua Davidson,99991534,2002-05-14,ACTIVE,2025-08-07,,7
98,Rachael Garrett,98014027,2007-04-19,ACTIVE,2025-09-21,,7
99,Óscar Verdú Ramírez,83628023,2004-07-20,WITHDRAWN,2004-07-20,,7
100,Sandalio Perales Garay,97369218,2002-08-02,ACTIVE,2025-04-25,,7
101,David Gibson,87763441,2002-12-19,WITHDRAWN,2002-12-19,,7
102,Paul Bell,85475902,2005-11-30,ACTIVE,2026-01-25,,7
103,Severo Ruano Martínez,95326598,2007-09-03,ACTIVE,2025-05-10,,7
104,Emperatriz Isern Andrés,86476212,2006-05-12,WITHDRAWN,2006-05-12,,7
105,Silvia Vicens Quintanilla,92023125,2005-09-15,ACTIVE,2025-12-29,,7
106,Priscila Grande Calderon,98760809,2006-12-10,ACTIVE,2025-11-02,,8
107,Pilar del Moll,96519838,2004-05-05,WITHDRAWN,2004-05-05,,8
108,Victorino Salinas Barrera,81871383,2002-04-10,COMPLETED,2025-05-13,6.27,8
109,Dr. Martha Madden MD,91889107,2005-07-30,COMPLETED,2025-05-24,9.1,8
110,Jerry Perry,98090927,2004-12-25,ACTIVE,2025-06-24,,8
111,Isaías Abel Gabaldón Múñiz,95250746,2010-02-24,ACTIVE,2025-09-24,,8
112,Timothy Davis,89451923,2006-09-02,ACTIVE,2026-03-05,,8
113,Mitchell Bond,90931187,2006-02-04,ACTIVE,2025-04-12,,8
114,Carmela Olivares Escudero,96375225,2008-05-10,ACTIVE,2025-08-06,,8
115,Pamela Sherman,98381112,2005-05-25,ACTIVE,2025-10-05,,8
116,Domingo Oliva Zabala,81594046,2004-07-07,ACTIVE,2025-07-05,,8
117,Paulina del Díaz,82055208,2001-08-07,COMPLETED,2025-12-06,6.54,8
118,Reyna Carrión-Estévez,84523944,2003-08-05,COMPLETED,2025-08-04,6.88,8
119,Courtney Jackson,95307521,2010-02-03,ACTIVE,2026-01-28,,8
120,Jerry Melton,87700981,2008-03-02,ACTIVE,2026-02-20,,8
121,Stephanie Hudson,83743674,2004-12-08,COMPLETED,2025-09-15,8.82,9
122,Tracy Roberts,92205333,2007-02-23,WITHDRAWN,2007-02-23,,9
123,Dr. Alexander Fields,91210927,2007-08-30,ACTIVE,2025-05-26,,9
124,Annette Johnson,81614156,2003-02-28,WITHDRAWN,2003-02-28,,9
125,Christopher Lewis,92769606,2004-12-29,ACTIVE,2025-10-04,,9
126,María Manuela Barco Marín,88349008,2008-03-22,ACTIVE,2025-05-30,,9
127,Alejandra Price,81891522,2008-09-28,ACTIVE,2026-02-01,,9
128,Carol Jacobs,83432443,2005-11-16,ACTIVE,2026-01-02,,9
129,Florencia del Gimeno,80623730,2009-10-12,ACTIVE,2025-08-21,,9
130,Goyo Lluch Marti,91715401,2009-05-26,ACTIVE,2025-05-09,,9
131,Steven Richardson,86446669,2003-12-25,WITHDRAWN,2003-12-25,,9
132,Miguela Castilla Diaz,99956458,2002-10-14,ACTIVE,2025-05-19,,9
133,Serafina de Priego,80485276,2008-05-11,COMPLETED,2026-01-15,7.48,9
134,Tiffany Goodman,89310329,2005-09-12,ACTIVE,2025-12-11,,9
135,Guadalupe del Conde,94328621,2008-05-12,ACTIVE,2025-10-06,,9
136,David Wilkins,89979604,2002-10-19,ACTIVE,2025-10-19,,10
137,Jamie Thomas,95664242,2005-12-24,ACTIVE,2025-12-05,,10
138,William Howard,96095446,2001-06-22,ACTIVE,2025-03-14,,10
139,Joan Garcia,80698047,2003-09-03,COMPLETED,2025-09-04,8.72,10
140,Andrea Casal-Casares,80845847,2004-04-20,ACTIVE,2025-04-29,,10
141,Karen Hernandez,94542593,2001-09-30,ACTIVE,2025-08-03,,10
142,James Gaines,83696278,2003-04-24,ACTIVE,2026-02-21,,10
143,Isabela Peñalver Sancho,93637399,2001-06-17,ACTIVE,2025-12-09,,10
144,Xavier Real Leiva,84569072,2001-04-01,ACTIVE,2025-12-26,,10
145,Sara Cole,83118121,2002-04-22,ACTIVE,2025-11-29,,10
146,Andrew Chang,93710671,2007-01-23,ACTIVE,2025-10-12,,10
147,Balduino del González,98452223,2003-04-09,ACTIVE,2025-03-28,,10
148,Débora Escamilla Barriga,88080965,2006-08-12,COMPLETED,2026-03-07,8.22,10
149,Fausto Campo Soria,83375749,2005-06-08,ACTIVE,2025-03-20,,10
150,Emperatriz Batlle Sacristán,94295405,2007-08-21,COMPLETED,2025-08-26,6.74,10
151,Robert Cortez,91728763,2007-07-14,ACTIVE,2025-04-19,,11
152,Julie Hubbard,87641374,2004-09-21,COMPLETED,2026-01-26,8.83,11
153,Ruben del Botella,81268056,2008-05-19,ACTIVE,2026-02-22,,11
154,Shelby Huber,87243006,2003-07-22,ACTIVE,2025-07-24,,11
155,Marcelo Saez-Carreño,85392102,2001-09-16,ACTIVE,2026-01-26,,11
156,Jean Kelly,82711767,2007-02-05,ACTIVE,2025-06-19,,11
157,Peter Smith,98226952,2006-01-12,WITHDRAWN,2006-01-12,,11
158,Ruy Rodrigo Iriarte,89281541,2003-09-25,ACTIVE,2025-12-24,,11
159,Jack Hayes,80175250,2005-07-12,ACTIVE,2025-12-13,,11
160,Elisabet Domingo Cantón,90792314,2007-06-19,COMPLETED,2026-02-26,6.98,11
161,Karen Deleon,97733481,2003-04-22,COMPLETED,2025-08-06,6.89,11
162,Jasmine Jackson,85631621,2003-04-19,COMPLETED,2026-02-25,9.3,11
163,María Jesús Gaya Pedraza,85523116,2001-06-20,WITHDRAWN,2001-06-20,,11
164,Daniel Jones,88124758,2002-01-24,ACTIVE,2025-09-06,,11
165,Brianna White,91220896,2003-12-11,ACTIVE,2026-01-08,,11
166,Roger Meyer,96670823,2003-06-05,WITHDRAWN,2003-06-05,,12
167,Zachary Lara,96205797,2006-04-16,WITHDRAWN,2006-04-16,,12
168,Robert Stephenson,88302039,2003-01-07,ACTIVE,2025-06-25,,12
169,Edelmira Canals Anglada,81093893,2005-07-30,WITHDRAWN,2005-07-30,,12
170,Florinda Reguera Llopis,81082777,2010-02-18,WITHDRAWN,2010-02-18,,12
171,Joanna Solomon,93132052,2004-08-08,WITHDRAWN,2004-08-08,,12
172,Jennifer Bell,93078904,2007-12-18,ACTIVE,2025-08-13,,12
173,Carlos Benavent Sosa,87905190,2004-09-10,COMPLETED,2026-02-17,6.26,12
174,Cole Maxwell,93791086,2009-07-12,COMPLETED,2025-04-05,7.79,12
175,Catherine Davis,94455012,2007-02-25,ACTIVE,2025-09-05,,12
176,Melissa Thompson,99672629,2006-01-14,ACTIVE,2026-01-10,,12
177,Andrés Nazaret Yáñez Anglada,98972333,2003-04-02,WITHDRAWN,2003-04-02,,12
178,Emily Baker,93063422,2010-01-14,COMPLETED,2026-02-24,8.37,12
179,Roldán Fábregas Jaén,80534452,2009-09-16,WITHDRAWN,2009-09-16,,12
180,Jerónimo Pedro Guardiola,80429387,2004-07-13,COMPLETED,2025-04-24,8.55,12
181,Kristen Barker,97977862,2006-12-20,WITHDRAWN,2006-12-20,,13
182,Abigail Clark,90760660,2003-01-29,ACTIVE,2026-01-18,,13
183,Mireia Viña Lozano,93518131,2003-07-09,COMPLETED,2026-02-11,7.56,13
184,Luisa Florina Yáñez Vélez,92355499,2005-11-15,ACTIVE,2025-04-28,,13
185,Scott Vargas,95456512,2007-04-15,ACTIVE,2025-04-27,,13
186,Katherine Smith,88232531,2003-08-02,ACTIVE,2025-06-20,,13
187,Godofredo del Echeverría,90375286,2001-10-26,ACTIVE,2025-12-16,,13
188,Veronica Smith,99669934,2006-10-12,ACTIVE,2026-03-06,,13
189,Terry Leon,99188124,2009-02-25,ACTIVE,2026-03-11,,13
190,Cindy Green,97520327,2007-09-21,WITHDRAWN,2007-09-21,,13
191,Scott Stevens,86817146,2006-05-26,WITHDRAWN,2006-05-26,,13
192,Javi Rovira Solana,88285447,2007-09-20,ACTIVE,2026-02-18,,13
193,Amílcar Ibáñez Fajardo,88101762,2007-12-31,ACTIVE,2025-11-08,,13
194,Zachary Lee MD,92261284,2006-12-03,ACTIVE,2025-05-26,,13
195,Jose Adams,91884955,2004-09-21,WITHDRAWN,2004-09-21,,13
196,Jesús Donoso Garay,80305504,2004-05-16,WITHDRAWN,2004-05-16,,14
197,Lauren Williams,90757224,2005-12-16,ACTIVE,2025-10-03,,14
198,Douglas Hart,96039247,2010-02-03,ACTIVE,2025-12-02,,14
199,Joan del Ropero,85053162,2005-11-28,ACTIVE,2025-05-04,,14
200,Billy Hogan,81784464,2006-06-30,ACTIVE,2025-05-26,,14
201,Jacinto Valderrama Jurado,89227383,2002-01-25,ACTIVE,2025-04-09,,14
202,Francisco Javier del Salmerón,99065907,2002-06-17,COMPLETED,2025-11-02,7.02,14
203,Thomas Ali,97831144,2005-11-30,COMPLETED,2025-05-12,9.19,14
204,Miguela Mancebo-Águila,99152840,2008-02-23,COMPLETED,2025-10-15,6.81,14
205,Lara Galván Gomila,92208596,2001-09-26,ACTIVE,2025-06-24,,14
206,Christopher Cox,86745595,2008-10-03,ACTIVE,2025-07-01,,14
207,Federico Cervera,80156995,2006-11-16,ACTIVE,2025-12-16,,14
208,Wanda Payne,83551390,2006-01-02,ACTIVE,2025-04-18,,14
209,Arturo Montserrat Amat,89169562,2001-04-27,ACTIVE,2025-08-13,,14
210,Billy Castillo,91867841,2002-10-04,COMPLETED,2025-12-21,7.98,14
211,Olivia Faulkner,89071731,2001-12-07,WITHDRAWN,2001-12-07,,15
212,Amanda Salazar,89432503,2005-09-16,ACTIVE,2025-09-23,,15
213,Inés de Murcia,89196005,2005-08-12,ACTIVE,2025-06-21,,15
214,Renata Pacheco Benet,85020430,2005-06-06,ACTIVE,2025-07-14,,15
215,Alejo Luís Bonilla,84014149,2002-12-04,ACTIVE,2025-09-28,,15
216,Jay Shaw,91611497,2004-01-27,ACTIVE,2025-10-04,,15
217,Shane Price Jr.,83786813,2002-04-16,COMPLETED,2026-02-05,7.33,15
218,Macario Requena,91498492,2002-05-05,ACTIVE,2025-05-12,,15
219,Steven Mcbride,84071320,2007-05-30,ACTIVE,2026-01-01,,15
220,Luciano Ochoa Roselló,82026025,2002-05-23,ACTIVE,2025-05-27,,15
221,Kayla Parker,81403521,2002-11-13,ACTIVE,2025-04-06,,15
222,Dimas Cañellas Gomez,90525997,2005-07-24,ACTIVE,2026-03-11,,15
223,Stacy Carroll,83364140,2008-08-26,WITHDRAWN,2008-08-26,,15
224,Odalis Folch Segarra,95781999,2010-02-24,COMPLETED,2025-03-18,7.67,15
225,Felicidad Giralt,90037112,2004-12-08,ACTIVE,2025-10-26,,15
226,Amanda Blake,94419122,2003-03-03,WITHDRAWN,2003-03-03,,16
227,Bienvenida Río Carreño,93560174,2010-03-02,ACTIVE,2025-05-04,,16
228,Kelsey Brown,99629892,2006-06-18,ACTIVE,2025-04-09,,16
229,Vidal Ángel,83354028,2007-01-04,ACTIVE,2025-07-04,,16
230,Michael Watson,87634692,2007-10-24,ACTIVE,2025-12-27,,16
231,Luisa Nicolás Armas,93118195,2002-09-26,COMPLETED,2026-03-12,6.98,16
232,Marianela Armengol Bravo,97719981,2005-10-13,WITHDRAWN,2005-10-13,,16
233,Cebrián Beltrán Osorio,88639928,2004-12-28,ACTIVE,2026-02-14,,16
234,Ema Puig Caparrós,80755895,2006-01-08,ACTIVE,2025-07-01,,16
235,David Jones,83449654,2003-09-30,ACTIVE,2025-06-10,,16
236,Rebecca Mitchell,95336258,2009-11-25,WITHDRAWN,2009-11-25,,16
237,Christian Holt,92689776,2003-01-16,ACTIVE,2025-09-03,,16
238,Shawn Esparza,88600426,2006-01-04,ACTIVE,2025-07-10,,16
239,Ema Soriano,96375632,2009-04-23,WITHDRAWN,2009-04-23,,16
240,Joseph Valentine,80778560,2006-06-25,WITHDRAWN,2006-06-25,,16
241,Daniel Lang,88339855,2003-12-01,ACTIVE,2026-02-09,,17
242,Ámbar Giralt Blazquez,88138531,2003-02-04,COMPLETED,2025-06-06,9.07,17
243,Tiffany Hernandez,89739788,2009-06-26,ACTIVE,2025-07-02,,17
244,Dorita Santamaria-Baena,85159881,2003-10-27,ACTIVE,2025-04-08,,17
245,Natalie Villa,85669979,2008-04-22,ACTIVE,2025-03-29,,17
246,América Ariza,91945952,2001-04-20,ACTIVE,2026-03-01,,17
247,Johnny Jones,96392942,2009-03-06,WITHDRAWN,2009-03-06,,17
248,Michael Lewis,82556315,2004-10-19,WITHDRAWN,2004-10-19,,17
249,Tyler Young,90388432,2008-04-07,ACTIVE,2025-04-23,,17
250,María Del Carmen Torrents Soria,87198835,2003-07-01,ACTIVE,2025-09-17,,17
251,Jo Rose,81397002,2008-12-15,ACTIVE,2025-07-24,,17
252,Buenaventura Rodriguez Jáuregui,97504478,2008-08-18,WITHDRAWN,2008-08-18,,17
253,Xiomara Pedrosa Coloma,80689061,2004-10-20,ACTIVE,2025-08-24,,17
254,Irma Tejedor Fortuny,80160413,2007-04-09,ACTIVE,2025-03-30,,17
255,Che Bonilla-Garriga,99757789,2001-10-27,ACTIVE,2025-10-30,,17
256,Joshua Taylor,90258239,2009-10-14,ACTIVE,2025-08-06,,18
257,Amy Dominguez,97840675,2003-02-05,WITHDRAWN,2003-02-05,,18
258,Jorge Alcalá Ramírez,92409095,2007-12-15,WITHDRAWN,2007-12-15,,18
259,Nathan Savage,82232287,2002-09-24,ACTIVE,2025-08-15,,18
260,Salomón Felix Pizarro Villalba,89500961,2001-11-18,ACTIVE,2025-03-17,,18
261,Luis Wheeler,85271578,2007-03-20,ACTIVE,2025-04-02,,18
262,Richard Robinson,89039852,2007-11-15,ACTIVE,2025-10-10,,18
263,Bernabé Román,98272422,2005-11-02,ACTIVE,2025-04-03,,18
264,Garrett Ward,86689501,2005-11-16,ACTIVE,2025-05-14,,18
265,Maxi Arnal Sáenz,95864553,2009-01-14,ACTIVE,2025-05-15,,18
266,Antonio Jarvis,96965597,2009-06-11,ACTIVE,2025-09-21,,18
267,Epifanio Cuadrado Riba,90666369,2009-02-19,COMPLETED,2025-05-13,6.71,18
268,Micheal Chaney,84697580,2006-06-27,ACTIVE,2026-02-14,,18
269,Jose Francisco del Frías,95860702,2003-10-14,WITHDRAWN,2003-10-14,,18
270,Ryan Douglas,90228122,2009-10-28,ACTIVE,2025-08-22,,18
271,Heriberto Ribes Pla,91312810,2008-07-09,ACTIVE,2025-07-28,,19
272,Beth Rivera,98403148,2001-03-25,ACTIVE,2025-10-09,,19
273,Michael Clark,93447280,2002-09-11,ACTIVE,2026-02-26,,19
274,Susan Ruiz,92725986,2009-09-11,ACTIVE,2025-08-08,,19
275,Ashley Curtis,82595942,2002-02-13,ACTIVE,2025-09-21,,19
276,Renato Ribes Díaz,93479993,2002-07-03,COMPLETED,2025-10-19,8.7,19
277,Lori Sanchez,89236452,2008-02-21,ACTIVE,2026-01-27,,19
278,Toni Aurelio Benito Oliva,83239858,2004-03-26,WITHDRAWN,2004-03-26,,19
279,Eusebia del Revilla,90240289,2006-12-19,WITHDRAWN,2006-12-19,,19
280,Lacey Allen,84715452,2002-01-14,ACTIVE,2025-11-14,,19
281,Mark Hampton,96847649,2006-04-03,ACTIVE,2025-06-09,,19
282,Marcus Martinez,84981401,2009-08-18,COMPLETED,2025-10-11,7.42,19
283,Graciano Amaya Agustín,83316635,2008-08-25,ACTIVE,2026-01-12,,19
284,Darrell Moreno,95015625,2003-09-01,COMPLETED,2025-04-20,6.0,19
285,Kimberly Barnes,99277841,2009-09-20,ACTIVE,2026-01-09,,19
286,Edelmira Verdugo Valle,82898781,2009-03-07,COMPLETED,2025-06-12,8.1,20
287,Jeremías de Morell,97507202,2010-03-12,COMPLETED,2025-11-23,6.91,20
288,Jose Manuel Vilanova-Rosell,85603035,2002-09-28,ACTIVE,2025-12-17,,20
289,Violeta Ferrer,86868734,2001-10-11,ACTIVE,2025-07-31,,20
290,Valerie Merritt,86463005,2006-06-11,WITHDRAWN,2006-06-11,,20
291,Matthew Cochran,92295919,2002-10-07,WITHDRAWN,2002-10-07,,20
292,Megan May,96514515,2007-03-01,WITHDRAWN,2007-03-01,,20
293,James Marshall,91031115,2008-10-07,ACTIVE,2025-09-07,,20
294,Prudencio Salinas Valbuena,91101210,2003-01-26,ACTIVE,2025-06-05,,20
295,Rosalía Maristela Bas Amores,83566275,2001-09-26,ACTIVE,2025-08-29,,20
296,Ana Dalmau Blazquez,97011277,2001-05-28,ACTIVE,2026-01-30,,20
297,Matthew Randolph,90249402,2006-01-15,WITHDRAWN,2006-01-15,,20
298,Esther Gil Bosch,80155968,2009-02-09,COMPLETED,2026-01-08,6.08,20
299,Adalberto Domínguez Posada,89183455,2008-02-01,ACTIVE,2025-10-11,,20
300,Onofre Alcolea Canet,98316861,2009-06-27,WITHDRAWN,2009-06-27,,20
301,Gabriel Miller,85841985,2002-02-17,ACTIVE,2025-08-26,,21
302,Mary Levy,95848027,2005-05-15,ACTIVE,2025-09-22,,21
303,Zoraida Manzanares Losa,91223225,2003-10-22,WITHDRAWN,2003-10-22,,21
304,Néstor Amador Vega,83518734,2004-10-30,WITHDRAWN,2004-10-30,,21
305,Macario Erasmo Juliá Palomares,97801601,2005-06-27,ACTIVE,2025-06-25,,21
306,Herminia Santamaria-Pereira,83447685,2005-10-31,ACTIVE,2025-06-03,,21
307,Chucho Gordillo Pazos,99114613,2005-08-31,ACTIVE,2025-05-20,,21
308,Anthony Abbott,91870991,2010-01-14,WITHDRAWN,2010-01-14,,21
309,Kelsey Clayton,82528129,2002-12-14,ACTIVE,2025-12-12,,21
310,Socorro Guzman-Sanjuan,89656518,2010-03-02,WITHDRAWN,2010-03-02,,21
311,Janice Thomas,93838573,2006-06-16,WITHDRAWN,2006-06-16,,21
312,Jenaro Maza-Arcos,90563174,2001-05-08,ACTIVE,2025-12-09,,21
313,Tina Hansen,91289519,2007-07-31,ACTIVE,2026-01-02,,21
314,Gastón Edgardo Bernat Ochoa,91287790,2001-09-04,COMPLETED,2026-02-15,9.33,21
315,Emelina Lledó Bermudez,97185854,2001-12-23,ACTIVE,2025-07-24,,21
316,Zacarías Gomila Mateos,94148003,2002-05-24,ACTIVE,2025-10-10,,22
317,Carla Day,93872922,2004-01-20,ACTIVE,2025-11-05,,22
318,Lope Castellanos Anguita,85477942,2005-10-01,ACTIVE,2025-08-05,,22
319,Juan Luis Buendía Jáuregui,97244802,2005-01-27,ACTIVE,2026-03-10,,22
320,Timothy Blackburn,85479870,2008-03-19,COMPLETED,2025-06-08,6.49,22
321,Joe Thompson,84439486,2001-12-19,ACTIVE,2025-12-27,,22
322,Soledad Jordá-Revilla,97180741,2006-03-01,ACTIVE,2025-04-06,,22
323,Natividad Solera,94936897,2008-04-27,WITHDRAWN,2008-04-27,,22
324,Bryan Mejia,99982711,2005-11-21,WITHDRAWN,2005-11-21,,22
325,Rebecca Yang,96257770,2008-03-17,ACTIVE,2026-03-01,,22
326,Shannon Doyle,81229914,2009-12-21,ACTIVE,2025-11-05,,22
327,Carla Grau Expósito,91065421,2010-03-08,ACTIVE,2025-10-02,,22
328,Lisa Morris,91053892,2002-04-23,WITHDRAWN,2002-04-23,,22
329,Anthony Stokes,95128514,2006-12-20,ACTIVE,2025-11-20,,22
330,Quique Sierra Mata,93769599,2001-12-30,ACTIVE,2025-05-17,,22
331,Robert Phillips,96048034,2002-01-15,COMPLETED,2025-09-16,8.92,23
332,Catherine Pollard,94300961,2004-08-30,ACTIVE,2025-08-05,,23
333,Flora Rozas Novoa,87647766,2003-02-24,ACTIVE,2025-09-19,,23
334,Renato Rivas Moya,86216185,2008-11-11,ACTIVE,2025-09-24,,23
335,Mrs. Stacy Robinson,83765517,2004-02-01,WITHDRAWN,2004-02-01,,23
